tn,en
خلي لكتاب حيث وجد وموش لازم دجيبهولي,Leave the book where it is; you don't need to bring it to me.
وقت تعسيلة توا خلي الواحد يرتاح,It's time for a nap now; let him reset.
خلي النار تهفت شويا,Let the fire go down a little.
خدم المكينة خلي نبداو نخدمو,Turn on the machine so that we can start to work.
زفرلو خلي يدور,Whistle and let him turn.
كَانْ,if
كَانْ تَوَّا,Just now
كان عُضْوْ مُسْتَديمْ,he was a permanent member
كَانْ مَا يْقَلْقِكِشْ,If it doesn't bother you
كَانْ مَاجَاتِشْ رَحْمَةْ رَبِّي,But for the grace of God
كان معملتش أكا الحاجة خير,if you hadn't done that
كَانَالْ,Canal
كَانِينْ الرَّاسْ عَ الرَّاسْ,they're always together
كَبّْ,to pour
كَبْ رَاسُو,"to drop one's head out of fatigue, fall asleep sitting up"
كَبْتْ,"deprivation, frustration due to something being withheld"
كَبِّدْ خْسَارَة,"to cause a loss, damage"
كِبْدِي,"my dear, beloved"
كَبِّرْ,"to enlarge, to grow"
كُبْرْ,pride
كُبْرْ,size
كْبِرْ فِي مُخُّو,He became wiser or more mature
كَبْرَى,to do a wheelie
كِبْرِيتْ,Sulfur
كْبِسْ,"to tighten, be tougher"
كْبِسْ إِدِيهْ,"to make a fist, clench one's hands"
كْبِسْ السَنْتُورَةْ,"to start being careful about spending, tighten the belt"
كْبِسْ المُوسْكِلْ,to tighten one's muscles
كْبِسْ بْإِيدِيهْ,to hold on tightly
كْبِسْ عَلِيهْ,"to greet, handshake, hold tightly"
كْبِسْ عَلِيهْ,"to be tougher, no longer be merciful"
كْبِسْ مَشْيْتُو,to start walking quickly
كَبْسَةْ,"tightening, getting tougher"
كَبِّشْ,"to hold on to, insist, not give up"
كَبِّشْ فِي بْلَاصْطُو,"he held on to his place, position"
كَبْطَى بِالسِّيفْ,to connect with difficulty
كَبُّولْ,Son of a bitch
كِبِيرْهُمْ,the oldest or most respected among them
كِتَابَة,Writing
كِتَابِي,Written
كِتَابِي,biblical
كِتَّانَةْ,"piece of cloth, linen"
كْتِبْ عَرِيضَةْ لْوَكِيلْ الجُمْهُورِيَّةْ,He wrote a petition to the public prosecutor
كْتِبْلُو بِسْمُو,he registered it in his name
كَتيبةْ,brigade
كَتِّفْ,"to tie up, especially arms and legs"
كَتْكَاتْ بَاشِي,old Peugeot used for farming
كْتِمْ,to be hidden in
كَثِّرْ,"to multiply something, increase"
كْثُرْ,to multiply
كَثْرِلْهَا بِالكْلَامْ,"to speak too much, use profanity"
كَدِّسْ,"to amass, pile up, accumulate, gather, save up"
كُدْسْ,"pile, stock of"
كَدْنَا,Padlock
كًذًا,"that, those things"
كَذَّابْ,Liar
كِذْبَةْ,Lie
كُرْ,to drag behind
كَرّْ عَلَى رُوحُو,he brought trouble on himself
كَرَاهِيَّة,Hatred
كَرَّايْ,"Tenants, renters"
كَرِّبْ,"to ruin, mess up"
كُرَة أرْضِيَّة,"globe, earth"
كَرْذُونَةْ,cardboard box
كَرِّسْ,To dedicate
كِرْشُو وِجْعِتُّو مِ الضُحْكْ,his stomach hurts from laughing
كَرَفَاشْ,Whip
كَرْكِرْ سَاقِيهْ,"to saunter, drag one's legs while walking"
كَرْكِرْ فِيهَا,"to joke with someone, make fun of"
كَرِّمْ,to honor
كَرَمْ,"Generosity, hospitality"
كْرِمْ,"to be generous with, welcome"
كَرْنِي سِنِسْسْ,CNSS (health care and retirement) card
كُرْهْ,Hatred
كُرَوَازْيَارْ,Cruise
كَرُّوسَةْ مْتَاعْ صْغَارْ,"stroller, pram"
كْرُوشَا,Hook
كْرُونُو,stopwatch
كْرُونُومَاتِرْ,stopwatch
كُرَوِي,Round
كَرْوِيَّة,spherical
كْرَى,to rent
كْرِيَاتِيفْ,Creative
كَرْيَةْ,"rent, renting"
كْرِيزْ,Crisis
كْرِيزْ مْتَاعْ لَرْبْعِينْ,midlife crisis
كْرِيسْتَالْ,crystal
كْرِيمُوجَانْ,tear gas
كْرِيمِينَالْ,Criminal
كْسَاحْ,"to get tougher, meaner"
كَسَّارَةْ,machine that breaks something (e.g. rock breaker)
كْسِبْ حُرِّيتُو,He gained his freedom
كْسِبْ خِبْرَةْ فِي الحَيَاةْ,He gained life experience
كْسِبْ صَحْتُو,He gained his health
كْسَرْ,to break
كَسِّرْ البِلاَّرْ,to break glass
كَسِّرْ حَاجِزْ الصَّوْتْ,to break the sound barrier
كْسُوحْ,"hard, difficult"
كَسُّوحِي,"someone who's always tough, difficult to deal with"
كَسُولْ,Lazy
كَشَّافَةْ,Scouts
كُشْبَاطِي,"stupid, uneducated, rough"
كَشْخَةْ,"Big, wide mouth"
كَشِّرْ,to bear one's teeth
كْشِفْ,"to reveal, uncover"
كْشِفْ المَسْتُورْ,to reveal something hidden
كْشِفْ عَوْرْتُو,"to pull down one's pants, show private parts"
كْشِفْ لَحْقِيقَةْ,to reveal the truth
كَشْكِشْ,"to foam up, to fizz"
كَشْكُوشَةْ,"Foam, fizz"
كْعَبْ,"Pieces, numbers of something"
كَعْبَاتْ مِنْ,Some of…
كَعْبَةْ,"one piece, one of, one item"
كَعْبَةْ لَا,"worthless, low quality"
كَعْبَةْ مِشْ نُرْمَالْ,"amazing, awesome"
كَعْبَةْ هَايْلَةْ,"Excellent, great"
كَعْبَةْ وَحْدَا,only one of something
كَعْبْتِينْ وْ كَعْبَةْ,"very few, just a few"
كَعْبِرْ,to roll into a ball
كَعْبِرْهَالُو,"to get into trouble, cause problems for"
كَعْبُورَةْ,"small sphere, ball"
كَعْبُورَةْ,young girl
كَعْرَارْ,"someone who always talks, tells the same story"
كُعْلَافْ,"someone who forces himself into a situation, doesn’t know to act"
كَفّْ,"to slap, hit with the palm"
كَفِّ اليِدّْ,Palm of the hand
كَفْ وْ غُرْزَة,"meeting someone unexpectedly, finding someone right in front of"
كَفَاءَةْ,"Competence, ability"
كِفَاحْ,Struggle
كِفَاحْ مُسَلَّحْ,Armed struggle
كْفَرْ بْحَاجَةْ,"to hate something, not believe in it, leave it"
كَفِّنْ,to hide something
كَفِّنْ,to wrap a corpse in a shroud
كْفَنْ,"shroud, cloth for corpse"
كَفَّى,"to be sufficient, enough"
كُلْ,"All, each, every"
كُلْ شَيْ إِلاَّ,Everything but
كُلْ مَرَّةْ,"Every time, each time"
كُلْ نْهَارْ وْ قَسْمُو,"Each day has its situations, circumstances"
كُلْ وَاحِدْ فِي ثْنِيَّةْ,everyone went his way
كُلْ وَاحِدْ فِي شِيرَةْ,"everyone went away, they're far from each other"
كْلَا رَاسُو,to die
كْلَا رَاسُو,to face a major catastrophe
كْلَا طْرِيحَةْ,to be beaten
كْلَا عَلَى رَاسُو,"to be defeated, be chewed up, criticized"
كْلَارْ,Clear
كْلَاسَى,to classify
كْلَامْ,"Talk, words"
كْلَامْ الجْدُودْ,proverbs or wisdom of previous generations
كْلَامْ شَارِعْ,Slang
كْلَامْ عِيبْ,"Bad, profane words"
كْلَامْ مزرِي,inappropriate words
كْلَامْ مِشْ فِي بْلَاصْتُو,Inappropriate words
كْلَامْ نَاسْ بِكْرِي,"Old sayings, proverbs"
كْلَاهْ الدُّودْ,"he died, was eaten by worms, rotted"
كْلَاهَا فِي عْضَامُو,to face something difficult and not say anything or do anything
كَلِّفْ,"to give a mission, appoint"
كَلْكُولْ,Calculation
كَلِّمْ,"to talk to, speak to"
كِلْمَةْ فِي بْلاَصِتْهَا,"Appropriate words, saying"
كِلْمْتُو إِقُولْهَا,"he says what's on his mind, he speaks his mind"
كْلُورْ,Chlorine
كْلُوشَارْ,"criminal, tough guy, gangster"
كْلُوفْ,"Nosiness, eavesdropping"
كُلُوفِيسْ,"Nosiness, eavesdropping"
كُلْونْ,Clown
كْلِيپْ,"video, clip"
كْلِيشَى,cliché
كْلِينَا المَاءْ وَ المِلْحْ,we ate together and are trusted friends
كْلِيُوپَتْرَا,Cleopatra
كْلِيُونْ,Customer
كَمَّاشَةْ,utensil that grabs something (e.g. cactus fruit)
كَمَالْ,Perfection
كْمَالَةْ,"the remainder, the completion, what's left"
كُمْبَاسْ,Compass
كَمْبس,"figure it out, come up with something"
كُمْبُوزَى النُّومْرُو,"to dial a number, type a number"
كُمْبِيتِيسْيُونْ,Competition
كُمْپُرْتْمُونْ,Behaviour
كُمْپْلاَتْمُونْ,Completely
كَمِّشْ,"to grab, ball up, hold on to"
كَمْشَةْ,Handful
كَمْشَةْ نَاسْ,a few people
كَمِّلْ,"to finish, continue"
كَمِّلْ البَاقِي,to finish the rest
كَمْلُو عْلَاهُمْ,"they kept it going, finished them off"
كَمِينْ,Trap
كَنْبِسْ,"to think, come up with"
كَنْبِنْ,"to think, come up with, figure out"
كنتِرْ,"to oppose, counter, disagree with, do a counterattack"
كُنْتْرُولَى,"to check, supervise"
كَنَدِي,Canadian
كَنْزْ,Treasure
كُنْفُورْ,"luxurious, comfortable"
كُنْفِيدُونْسِيَالْ,Confidential
كُنْكَاسَاجْ,"Crushing, breaking"
كُنْكُرِي,Hardware store
كَنْلُو شُعُورْ,to have special feelings for
كَهِّبْ,"to be close to, to be leaning over toward, at the edge of"
كَهِّبْ عَلْ عْبَادْ,"to lean over people, come close to"
كَهْرِبْ,"to ruin, foul up"
كَهْلْ,adult
كْوى,"to iron, to brand, burn"
كْوَانْ,corner
كْوَاهْ بِالبُونْتَةْ,to burn with a cigarette butt
كَوِّبْ,to lock
كُوبِلْ جْدِيدْ,new couple
كُوپِلْ,couple
كُوتَا,"rate, value"
كُوتَا بُوزِيتِيفْ وْ كُوتَا نَاڨاتِيفْ,Positive side and negative side
كُوخِرْ,"to be groggy, not quite awake"
كُورْدَة,"rope, especially for hanging oneself"
كُورْدَة,jumprope
كُورُنْدَارْ,"air flow, breeze"
كُورُوبْسْيُونْ,corruption
كُورُونْ,electricity
كُوسْتُو,"fun, good time"
كُوسُونْتْرَى,concentrated
كُوشَةْ,bakery
كُوفِرْ,"to protect, cover"
كُولِكْسْيُونَارْ,collector
كُولُونَالْ لْيُوتْنُو,colonel lieutenant
كُولْيَا,"mail, letters"
كُومْبَا,"fight, battle"
كُومْبْرَاسُورْ,compresser
كُومْبِرِيسَا,"to compress, press"
كُومْبْلَا,full
كُومْبْلِيكَا,complicated
كُومْبُورْتُمُونْ خَايِبْ,bad behaviour
كُومَةْ,pile
كُومُنْدُو,commandos
كُومِينِيكَى,to communicate
كَوِّنْ,"to make, form, create, start, found"
كُونْتَاكْتَى,to contact
كْوَنْسَاهْ,"to freeze up, lock up, confuse"
كْوَنْسِيدُونْسْ,coincidence
كُونْسْيُو,conscious
كُونْسْيُونْسْ,"awareness, cognizance"
كُونِشْ,"unless, if it's not the case that"
كُونْفُورْتَابِلْ,comfortable
كُونِكْسْيُونْ,connection
كونكليزيون,conclusion
كِي الجَرْبُوعْ دِيمَا يُحْصُلْ,"they always catch him, get him"
كِي الحْلِيبْ,"very white, beautiful, pure"
كِي العُرْصَةْ,standing somewhere without moving
كِي المْرَا نْهَارْ الكُلّْ شَادْ الدَّارْ,always at home like a woman
كِي بِيهْ كِي بْلَاشْ,"useless, worthless"
كِي صْلاَتُو كِي بْلاَشْ,his prayers are pointless
كِيتْ,headphones
كِيخْ كِيخْ,"laughing hard, dying of laughter"
كَيِّفْ,"to get someone to smoke, do drugs"
كَيِّفْ,to cool/heat a room (air conditioner)
كَيِّفْ,"to facilitate, make appropriate/possible"
كِيفَاشْ تْوَصِّلْتُو,"how did you figure out, come up with"
كِيفَاشْ يْشُوفْ الدِّنْيَا,what's his perspective on life?
كِيمَا,"like, as"
كِيمَا تْفَاهِمْنَا,as we agreed
كِيمَا وِلْدِتُّو أُمُّو,"as he was born, pure, without sin"
كِيمَا وِلْدِتُّو أُمُّو,naked
كِي نْزِيدُوهُمْ,if we add…
لاَ,no
لَا دِينْ لَا مِلَّةْ,faithless and rootless
لَا لُومْ عْلِيهْ,"it's not his fault, he's innocent"
لَا هَكَّا لَا هَكَّا,"don't do anything wrong, behave"
لَا هَكَّا لَا هَكَّا,neither one
لَا يْخَبِّشْ لَا يْدَبِّشْ,"nice person, kind, well-behaved"
لَا يْزِيدْ لَا يْنَقِّصْ,honest
لَابَاسْ,"fine, doing well, good"
لَابُدّْ,"it must be that, there's no avoiding"
لَابِدْ,"hiding, lurking"
لَابِسْ دْرَا كِيفَاشْ,dressed strangely
لَاپْرَاسْ,"La Presse, Tunisian newspaper"
لَاتِرْ,literature
لَاتِرْ,written letter
لَاتِرْ رُوكُومُونْدَا,"registered letter, express mail"
لاَتِينُو,Latino
لَازِمْ,"must, has to be"
لَازِمْ مِنْهَا,necessary
لَاسْتِيكْ,elastic
لَاصْقَةْ,"stuck to, next to"
لَاصْقِينْ فِي بْعَضْهُمْ,stuck together
لَاعِبْهَا,"acting like, pretending to be"
لَاعِبْهَا طَيِّبْ جِعْبَةْ,"pretending to be someone awesome, good at everything (slang)"
لَاعِبْهَا عْزُوزْ,pretending to be an old man
لَاعِبْهَا قَحْبُونْ,pretending to be someone smart (crass)
لاَفْتَة,"signboard, banner, advertisement"
لَاقْ,"to fit, become"
لَاكَى,to like on Facebook
لَامْ,to blame
لَامِعْ,shiny
لَاهِبْ,burning
لَاهِبْ,"wanting sex, horny"
لَاهِي,busy
لَاهِي بَاهَا,taking care of her
لَاهِي بْحَاجَةْ,busy doing something
لَاهِي بَرْشَا,very busy
لَاهِي بْرُوحُو,taking care of himself
لَاهِي بْصَحْتُو,taking care of his health
لاَوَعْيِ,"unconsciousness, lack of awareness"
